epochs 2 | Steps 2500 | total loss : 1929865.75
epochs 2 | Steps 2520 | total loss : 1944265.0
epochs 2 | Steps 2540 | total loss : 1958827.25
epochs 2 | Steps 2560 | total loss : 1973744.625
epochs 2 | Steps 2580 | total loss : 1988505.625
epochs 2 | Steps 2600 | total loss : 2003464.875
HBox(children=(IntProgress(value=0, max=108), HTML(value='')))
epochs 2 | Steps 2620 | total loss : 2019275.375
epochs 2 | Steps 2640 | total loss : 2036068.0
epochs 2 | Steps 2660 | total loss : 2053229.375
epochs 2 | Steps 2680 | total loss : 2070265.375
epochs 2 | Steps 2700 | total loss : 2086723.625

HBox(children=(IntProgress(value=0, description='MUSIC', max=7, style=ProgressStyle(description_width='initial')), HTML(value='')))
HBox(children=(IntProgress(value=0, max=356), HTML(value='')))
epochs 3 | Steps 20 | total loss : 14789.55078125
epochs 3 | Steps 40 | total loss : 29705.328125
epochs 3 | Steps 60 | total loss : 44720.55859375
epochs 3 | Steps 80 | total loss : 59611.83203125
epochs 3 | Steps 100 | total loss : 74488.375
epochs 3 | Steps 120 | total loss : 89649.8671875
epochs 3 | Steps 140 | total loss : 104402.71875
epochs 3 | Steps 160 | total loss : 119576.078125
epochs 3 | Steps 180 | total loss : 134416.859375
epochs 3 | Steps 200 | total loss : 149441.890625
epochs 3 | Steps 220 | total loss : 164421.8125
epochs 3 | Steps 240 | total loss : 179292.0625
epochs 3 | Steps 260 | total loss : 194016.359375
epochs 3 | Steps 280 | total loss : 208806.75
epochs 3 | Steps 300 | total loss : 223862.671875
epochs 3 | Steps 320 | total loss : 238736.234375
epochs 3 | Steps 340 | total loss : 253724.109375
HBox(children=(IntProgress(value=0, max=437), HTML(value='')))
epochs 3 | Steps 360 | total loss : 267807.6875
epochs 3 | Steps 380 | total loss : 282516.28125
epochs 3 | Steps 400 | total loss : 297409.34375
epochs 3 | Steps 420 | total loss : 312005.40625
epochs 3 | Steps 440 | total loss : 326698.625
epochs 3 | Steps 460 | total loss : 341531.96875
epochs 3 | Steps 480 | total loss : 356307.46875
epochs 3 | Steps 500 | total loss : 371225.15625
epochs 3 | Steps 520 | total loss : 386194.8125
epochs 3 | Steps 540 | total loss : 400910.25
epochs 3 | Steps 560 | total loss : 415629.0
epochs 3 | Steps 580 | total loss : 430599.53125
epochs 3 | Steps 600 | total loss : 445224.40625
epochs 3 | Steps 620 | total loss : 459906.6875
epochs 3 | Steps 640 | total loss : 474754.5
epochs 3 | Steps 660 | total loss : 489664.15625
epochs 3 | Steps 680 | total loss : 504467.28125
epochs 3 | Steps 700 | total loss : 519416.78125
epochs 3 | Steps 720 | total loss : 534245.5
epochs 3 | Steps 740 | total loss : 549179.0
epochs 3 | Steps 760 | total loss : 564035.4375
epochs 3 | Steps 780 | total loss : 578573.25
HBox(children=(IntProgress(value=0, max=388), HTML(value='')))
epochs 3 | Steps 800 | total loss : 592743.25
epochs 3 | Steps 820 | total loss : 607159.0
epochs 3 | Steps 840 | total loss : 621887.8125
epochs 3 | Steps 860 | total loss : 636631.8125
epochs 3 | Steps 880 | total loss : 651342.1875
epochs 3 | Steps 900 | total loss : 666090.875
epochs 3 | Steps 920 | total loss : 680454.375
epochs 3 | Steps 940 | total loss : 695189.4375
epochs 3 | Steps 960 | total loss : 709855.5625
epochs 3 | Steps 980 | total loss : 724376.625
epochs 3 | Steps 1000 | total loss : 739133.6875
epochs 3 | Steps 1020 | total loss : 753888.0
epochs 3 | Steps 1040 | total loss : 768556.75
epochs 3 | Steps 1060 | total loss : 783450.875
epochs 3 | Steps 1080 | total loss : 797676.0
epochs 3 | Steps 1100 | total loss : 812229.8125
epochs 3 | Steps 1120 | total loss : 826787.0625
epochs 3 | Steps 1140 | total loss : 841069.9375
epochs 3 | Steps 1160 | total loss : 855477.125
epochs 3 | Steps 1180 | total loss : 870024.625
HBox(children=(IntProgress(value=0, max=565), HTML(value='')))
epochs 3 | Steps 1200 | total loss : 883791.375
epochs 3 | Steps 1220 | total loss : 898328.125
epochs 3 | Steps 1240 | total loss : 912645.625
epochs 3 | Steps 1260 | total loss : 926950.875
epochs 3 | Steps 1280 | total loss : 941546.0
epochs 3 | Steps 1300 | total loss : 955779.625
epochs 3 | Steps 1320 | total loss : 970289.375
epochs 3 | Steps 1340 | total loss : 984797.8125
epochs 3 | Steps 1360 | total loss : 999141.9375
epochs 3 | Steps 1380 | total loss : 1013918.125
epochs 3 | Steps 1400 | total loss : 1028484.0
epochs 3 | Steps 1420 | total loss : 1043074.5
epochs 3 | Steps 1440 | total loss : 1057522.625
epochs 3 | Steps 1460 | total loss : 1071832.25
epochs 3 | Steps 1480 | total loss : 1086289.625
epochs 3 | Steps 1500 | total loss : 1100992.75
epochs 3 | Steps 1520 | total loss : 1115242.125
epochs 3 | Steps 1540 | total loss : 1129358.0
epochs 3 | Steps 1560 | total loss : 1143724.625
epochs 3 | Steps 1580 | total loss : 1157750.75
epochs 3 | Steps 1600 | total loss : 1172246.75
epochs 3 | Steps 1620 | total loss : 1186680.0
epochs 3 | Steps 1640 | total loss : 1201130.875
epochs 3 | Steps 1660 | total loss : 1215448.75
epochs 3 | Steps 1680 | total loss : 1229616.125
epochs 3 | Steps 1700 | total loss : 1243975.25
epochs 3 | Steps 1720 | total loss : 1258277.75
epochs 3 | Steps 1740 | total loss : 1272548.875
HBox(children=(IntProgress(value=0, max=490), HTML(value='')))
epochs 3 | Steps 1760 | total loss : 1286928.875
epochs 3 | Steps 1780 | total loss : 1302193.125
epochs 3 | Steps 1800 | total loss : 1317546.75
epochs 3 | Steps 1820 | total loss : 1333074.375
epochs 3 | Steps 1840 | total loss : 1348062.375
epochs 3 | Steps 1860 | total loss : 1363175.625
epochs 3 | Steps 1880 | total loss : 1378308.875
epochs 3 | Steps 1900 | total loss : 1393322.125
epochs 3 | Steps 1920 | total loss : 1408512.75
epochs 3 | Steps 1940 | total loss : 1423693.0
epochs 3 | Steps 1960 | total loss : 1438901.375
epochs 3 | Steps 1980 | total loss : 1453897.875
epochs 3 | Steps 2000 | total loss : 1469470.0
epochs 3 | Steps 2020 | total loss : 1484565.5
epochs 3 | Steps 2040 | total loss : 1499735.375
epochs 3 | Steps 2060 | total loss : 1514901.875
epochs 3 | Steps 2080 | total loss : 1530027.875
epochs 3 | Steps 2100 | total loss : 1545008.875
epochs 3 | Steps 2120 | total loss : 1560238.25
epochs 3 | Steps 2140 | total loss : 1575498.625
epochs 3 | Steps 2160 | total loss : 1590477.125
epochs 3 | Steps 2180 | total loss : 1605513.125
epochs 3 | Steps 2200 | total loss : 1620567.625
epochs 3 | Steps 2220 | total loss : 1635295.625
HBox(children=(IntProgress(value=0, max=414), HTML(value='')))
epochs 3 | Steps 2240 | total loss : 1649900.0
epochs 3 | Steps 2260 | total loss : 1664633.25
epochs 3 | Steps 2280 | total loss : 1679216.75
epochs 3 | Steps 2300 | total loss : 1694101.375
epochs 3 | Steps 2320 | total loss : 1708634.375
epochs 3 | Steps 2340 | total loss : 1723085.125
epochs 3 | Steps 2360 | total loss : 1737583.25
epochs 3 | Steps 2380 | total loss : 1752024.25
epochs 3 | Steps 2400 | total loss : 1766917.0
epochs 3 | Steps 2420 | total loss : 1781535.75
epochs 3 | Steps 2440 | total loss : 1796006.625
epochs 3 | Steps 2460 | total loss : 1810695.25
epochs 3 | Steps 2480 | total loss : 1825290.375
epochs 3 | Steps 2500 | total loss : 1839702.25
epochs 3 | Steps 2520 | total loss : 1854414.875
epochs 3 | Steps 2540 | total loss : 1868940.0
epochs 3 | Steps 2560 | total loss : 1883396.125
epochs 3 | Steps 2580 | total loss : 1897751.875
epochs 3 | Steps 2600 | total loss : 1912471.0
epochs 3 | Steps 2620 | total loss : 1927252.125
epochs 3 | Steps 2640 | total loss : 1941601.625
HBox(children=(IntProgress(value=0, max=62), HTML(value='')))
epochs 3 | Steps 2660 | total loss : 1955313.0
epochs 3 | Steps 2680 | total loss : 1969560.875
epochs 3 | Steps 2700 | total loss : 1983672.0

HBox(children=(IntProgress(value=0, description='MUSIC', max=7, style=ProgressStyle(description_width='initial')), HTML(value='')))
HBox(children=(IntProgress(value=0, max=402), HTML(value='')))
epochs 4 | Steps 20 | total loss : 14343.982421875
epochs 4 | Steps 40 | total loss : 28701.728515625
epochs 4 | Steps 60 | total loss : 43071.36328125
epochs 4 | Steps 80 | total loss : 57337.55859375
epochs 4 | Steps 100 | total loss : 71447.3125
epochs 4 | Steps 120 | total loss : 86082.578125
epochs 4 | Steps 140 | total loss : 100496.0
epochs 4 | Steps 160 | total loss : 114952.9375
epochs 4 | Steps 180 | total loss : 129377.6015625
epochs 4 | Steps 200 | total loss : 143787.90625
epochs 4 | Steps 220 | total loss : 158085.46875
epochs 4 | Steps 240 | total loss : 172628.671875
epochs 4 | Steps 260 | total loss : 187139.234375
epochs 4 | Steps 280 | total loss : 201226.234375
epochs 4 | Steps 300 | total loss : 215476.171875
epochs 4 | Steps 320 | total loss : 229809.34375
epochs 4 | Steps 340 | total loss : 244091.03125
epochs 4 | Steps 360 | total loss : 258671.65625
epochs 4 | Steps 380 | total loss : 272910.65625
epochs 4 | Steps 400 | total loss : 287145.75
HBox(children=(IntProgress(value=0, max=591), HTML(value='')))
epochs 4 | Steps 420 | total loss : 300683.375
epochs 4 | Steps 440 | total loss : 314824.53125
epochs 4 | Steps 460 | total loss : 329110.0
epochs 4 | Steps 480 | total loss : 343297.84375
epochs 4 | Steps 500 | total loss : 357765.1875
epochs 4 | Steps 520 | total loss : 371776.21875
epochs 4 | Steps 540 | total loss : 386096.625
epochs 4 | Steps 560 | total loss : 400449.0625
epochs 4 | Steps 580 | total loss : 414670.15625
epochs 4 | Steps 600 | total loss : 428817.0625
epochs 4 | Steps 620 | total loss : 442903.84375
epochs 4 | Steps 640 | total loss : 457145.21875
epochs 4 | Steps 660 | total loss : 471410.0
epochs 4 | Steps 680 | total loss : 485759.59375
epochs 4 | Steps 700 | total loss : 500087.0625
epochs 4 | Steps 720 | total loss : 514500.5
epochs 4 | Steps 740 | total loss : 528891.4375
epochs 4 | Steps 760 | total loss : 543164.9375
epochs 4 | Steps 780 | total loss : 557364.4375
epochs 4 | Steps 800 | total loss : 571528.5625
epochs 4 | Steps 820 | total loss : 585478.9375
epochs 4 | Steps 840 | total loss : 599741.1875
epochs 4 | Steps 860 | total loss : 613664.6875
epochs 4 | Steps 880 | total loss : 627994.5
epochs 4 | Steps 900 | total loss : 642035.8125
epochs 4 | Steps 920 | total loss : 656160.1875
epochs 4 | Steps 940 | total loss : 670374.8125
epochs 4 | Steps 960 | total loss : 684421.875
epochs 4 | Steps 980 | total loss : 698464.1875

HBox(children=(IntProgress(value=0, max=473), HTML(value='')))
epochs 4 | Steps 1000 | total loss : 712657.6875
epochs 4 | Steps 1020 | total loss : 726998.5625
epochs 4 | Steps 1040 | total loss : 741410.125
epochs 4 | Steps 1060 | total loss : 755982.25
epochs 4 | Steps 1080 | total loss : 770276.25
epochs 4 | Steps 1100 | total loss : 784613.0625
epochs 4 | Steps 1120 | total loss : 798978.8125
epochs 4 | Steps 1140 | total loss : 813186.1875
epochs 4 | Steps 1160 | total loss : 827431.9375
epochs 4 | Steps 1180 | total loss : 841424.875
epochs 4 | Steps 1200 | total loss : 855880.25
epochs 4 | Steps 1220 | total loss : 870552.3125
epochs 4 | Steps 1240 | total loss : 884644.4375
epochs 4 | Steps 1260 | total loss : 898889.6875
